Year,Districts,Area,yield_kg/ha,crop_type,avg_temp_C,max_temp_C,min_temp_C,avg_relative_humidity,avg_rainfall_mm_per_year,total_solar_radiation_kWh/m2,total_PAR_MJ/m2,avg_wind_speed_m/s,avg_pH_value,fertilizer_in_MT
2067,Achham,9450.0,2400.0,Paddy,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6522.01,2827.55,1.555643836,6.1,76.0
2067,Achham,6351.0,1550.0,Maize,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6522.01,2827.55,1.555643836,6.1,76.0
2067,Achham,3412.0,950.0,Millet,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6522.01,2827.55,1.555643836,6.1,76.0
2067,Achham,0.0,0.0,Buckwheat,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6522.01,2827.55,1.555643836,6.1,76.0
2067,Achham,16139.0,1450.0,Wheat,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6522.01,2827.55,1.555643836,6.1,76.0
2067,Achham,514.0,1298.0,Barley,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6522.01,2827.55,1.555643836,6.1,76.0
2067,Arghakhanchi,8768.0,2600.0,Paddy,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,5.9,612.0
2067,Arghakhanchi,16915.0,1507.0,Maize,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,5.9,612.0
2067,Arghakhanchi,820.0,1073.0,Millet,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,5.9,612.0
2067,Arghakhanchi,336.0,982.0,Buckwheat,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,5.9,612.0
2067,Arghakhanchi,7340.0,1836.0,Wheat,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,5.9,612.0
2067,Arghakhanchi,485.0,1223.0,Barley,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,5.9,612.0
2067,Baglung,5792.0,2956.0,Paddy,20.00545205,25.42309589,15.70890411,57.22178082,1226.86,6385.99,2761.53,1.593342466,5.7,439.0
2067,Baglung,20327.0,2592.0,Maize,20.00545205,25.42309589,15.70890411,57.22178082,1226.86,6385.99,2761.53,1.593342466,5.7,439.0
2067,Baglung,17700.0,1301.0,Millet,20.00545205,25.42309589,15.70890411,57.22178082,1226.86,6385.99,2761.53,1.593342466,5.7,439.0
2067,Baglung,100.0,1100.0,Buckwheat,20.00545205,25.42309589,15.70890411,57.22178082,1226.86,6385.99,2761.53,1.593342466,5.7,439.0
2067,Baglung,7035.0,1886.0,Wheat,20.00545205,25.42309589,15.70890411,57.22178082,1226.86,6385.99,2761.53,1.593342466,5.7,439.0
2067,Baglung,1005.0,1259.0,Barley,20.00545205,25.42309589,15.70890411,57.22178082,1226.86,6385.99,2761.53,1.593342466,5.7,439.0
2067,Baitadi,5300.0,1890.0,Paddy,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6708.83,2953.94,1.683589041,6.0,109.0
2067,Baitadi,9500.0,1800.0,Maize,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6708.83,2953.94,1.683589041,6.0,109.0
2067,Baitadi,850.0,1118.0,Millet,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6708.83,2953.94,1.683589041,6.0,109.0
2067,Baitadi,0.0,0.0,Buckwheat,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6708.83,2953.94,1.683589041,6.0,109.0
